data,mean,temp_arg,temp_arg_max,temp_arg_min
2021-04-03,12895.541666666664,21.2,28.26666667,14.13333333
2021-04-04,12898.208333333332,21.3,28.4,14.2
2021-04-05,14369.25,22.9,30.53333333,15.26666667
2021-04-06,15768.45833333333,22.8,30.4,15.2
2021-04-07,16134.999999999996,25.0,33.33333333,16.66666667
2021-04-08,16109.166666666662,23.1,30.8,15.4
2021-04-09,15167.499999999995,20.6,27.46666667,13.73333333
2021-04-10,14144.916666666662,20.7,27.6,13.8
2021-04-11,12885.541666666666,18.4,24.53333333,12.26666667
2021-04-12,14195.583333333332,17.1,22.8,11.4
2021-04-13,14464.291666666666,18.1,24.13333333,12.06666667
2021-04-14,14565.708333333334,17.1,22.8,11.4
2021-04-15,14583.416666666666,18.1,24.13333333,12.06666667
2021-04-16,14684.83333333333,17.9,23.86666667,11.93333333
2021-04-17,13297.5,18.1,24.13333333,12.06666667
2021-04-18,12752.583333333334,17.9,23.86666667,11.93333333
2021-04-19,14415.125,20.7,27.6,13.8
2021-04-20,15218.708333333332,21.2,28.26666667,14.13333333
2021-04-21,15143.91666666667,21.8,29.06666667,14.53333333
2021-04-22,14770.624999999998,21.9,29.2,14.6
2021-04-23,14616.541666666666,20.4,27.2,13.6
2021-04-24,13324.624999999996,16.8,22.4,11.2
2021-04-25,12377.041666666664,13.8,18.4,9.2
2021-04-26,13931.583333333334,12.7,16.93333333,8.466666667
2021-04-27,14171.458333333332,13.7,18.26666667,9.133333333
2021-04-28,14508.625,16.3,21.73333333,10.86666667
2021-04-29,14466.124999999998,18.1,24.13333333,12.06666667
2021-04-30,14393.749999999998,17.8,23.73333333,11.866666669999999
2021-05-01,12132.75,18.8,25.066666669999996,12.53333333
2021-05-02,12076.124999999998,19.9,26.53333333,13.26666667
2021-05-03,14393.124999999998,20.0,26.66666667,13.33333333
2021-05-04,14681.916666666662,12.6,16.8,8.4
2021-05-05,15597.124999999996,9.2,12.26666667,6.133333333000001
2021-05-06,15449.958333333336,9.3,12.4,6.2
2021-05-07,16296.500000000002,9.8,13.06666667,6.533333333
2021-05-08,14452.416666666666,13.1,17.46666667,8.733333333
2021-05-09,13611.624999999998,11.2,14.93333333,7.466666667
2021-05-10,15725.791666666668,10.6,14.133333330000001,7.066666667
2021-05-11,15915.0,8.8,11.73333333,5.866666666999999
